State,Marital Status of Parents,Christian Denomination,Previously Enrolled in Public School,Student Age,Family Income,Number of Years Enrolled
Hawaii,Divorced,Other,Yes,17,126419,12
Ohio,Married,Non-denominational,Yes,16,85703,5
New Jersey,Single,Pentecostal,No,7,75959,2
Nebraska,Divorced,Other,Yes,7,163819,2
Washington,Single,Catholic,No,6,92469,1
Louisiana,Married,Methodist,Yes,9,146265,3
Maryland,Married,Orthodox,Yes,16,134605,6
Wisconsin,Widowed,Non-denominational,Yes,5,50323,1
Nebraska,Single,Evangelical,Yes,5,120133,1
Ohio,Divorced,Baptist,Yes,6,173725,1
Wisconsin,Married,Methodist,Yes,13,85027,7
North Carolina,Widowed,Evangelical,Yes,12,59951,1
Wyoming,Divorced,Non-denominational,Yes,8,196277,2
Michigan,Divorced,Other,No,17,155770,3
Oregon,Single,Baptist,Yes,12,140679,2
Wisconsin,Divorced,Evangelical,Yes,13,42056,5
Oregon,Widowed,Methodist,Yes,17,185713,8
South Dakota,Single,Baptist,Yes,15,80796,4
Kansas,Widowed,Lutheran,No,13,121440,2
Arkansas,Divorced,Lutheran,No,16,126003,9
Maryland,Widowed,Catholic,No,7,169670,1
Michigan,Single,Catholic,Yes,8,194962,1
Kentucky,Widowed,Lutheran,No,16,189984,1
Idaho,Widowed,Baptist,Yes,13,146856,3
New Jersey,Single,Other,Yes,13,34081,4
Michigan,Widowed,Evangelical,No,14,163136,1
Nebraska,Married,Pentecostal,No,16,149496,5
Missouri,Widowed,Pentecostal,No,13,117816,6
Tennessee,Single,Methodist,No,11,181818,2
Texas,Widowed,Presbyterian,Yes,13,31706,5
Hawaii,Married,Baptist,Yes,7,53576,2
Kansas,Married,Other,Yes,17,68150,6
Michigan,Single,Evangelical,No,10,89526,3
Tennessee,Single,Orthodox,Yes,16,97105,4
Arkansas,Widowed,Orthodox,Yes,18,135142,6
Missouri,Married,Methodist,Yes,13,186110,8
South Carolina,Single,Baptist,Yes,13,82651,7
North Dakota,Widowed,Other,No,12,160526,5
Virginia,Married,Pentecostal,No,10,182808,1
North Dakota,Married,Presbyterian,Yes,14,197615,5
Connecticut,Single,Catholic,No,11,85865,3
New Jersey,Single,Pentecostal,Yes,9,64388,4
Iowa,Single,Presbyterian,No,7,42575,2
Florida,Divorced,Non-denominational,No,7,128184,2
Pennsylvania,Single,Other,No,17,93386,8
Louisiana,Widowed,Non-denominational,Yes,5,68712,1
Louisiana,Married,Lutheran,No,10,156279,1
Ohio,Divorced,Presbyterian,Yes,9,91730,4
Montana,Divorced,Presbyterian,Yes,11,196931,2
Hawaii,Divorced,Presbyterian,No,15,43397,8
Ohio,Divorced,Evangelical,Yes,5,82222,1
Kentucky,Divorced,Baptist,Yes,7,152634,2
New Mexico,Married,Evangelical,No,16,121440,3
Ohio,Divorced,Other,Yes,11,93676,2
Utah,Divorced,Pentecostal,Yes,7,194407,1
Ohio,Single,Catholic,No,6,168072,1
Indiana,Married,Lutheran,Yes,11,132682,1
Arkansas,Divorced,Presbyterian,No,17,62640,10
Iowa,Single,Non-denominational,Yes,10,160180,3
Louisiana,Widowed,Presbyterian,No,7,114913,2
Virginia,Married,Evangelical,Yes,6,62540,1
Tennessee,Divorced,Evangelical,No,11,94479,4
Indiana,Divorced,Evangelical,Yes,8,126502,3
Arkansas,Married,Methodist,Yes,14,50014,8
Alaska,Widowed,Other,Yes,17,157926,12
Nevada,Married,Presbyterian,Yes,10,151920,4
Iowa,Married,Other,No,7,78555,1
Michigan,Single,Methodist,No,17,161754,10
North Dakota,Single,Evangelical,No,12,98567,2
Montana,Divorced,Catholic,No,7,130988,1
Arizona,Single,Lutheran,No,12,127972,4
California,Widowed,Other,Yes,6,129721,1
Maine,Married,Lutheran,Yes,15,131667,9
Wisconsin,Widowed,Lutheran,No,12,63902,2
Mississippi,Divorced,Evangelical,No,7,192728,2
Iowa,Single,Orthodox,No,5,154599,1
Wisconsin,Married,Presbyterian,No,16,90952,10
Oregon,Married,Evangelical,No,16,74028,9
Massachusetts,Widowed,Catholic,No,6,99956,1
Delaware,Married,Non-denominational,Yes,7,181616,2
New Mexico,Widowed,Orthodox,No,11,173412,4
Oregon,Divorced,Baptist,No,7,96138,1
Texas,Widowed,Baptist,Yes,16,152335,10
Hawaii,Single,Evangelical,No,17,151292,9
Arkansas,Widowed,Evangelical,No,7,60127,1
North Carolina,Divorced,Evangelical,No,17,33824,11
Colorado,Married,Non-denominational,No,11,101508,6
Arkansas,Widowed,Non-denominational,No,12,173081,5
New York,Divorced,Other,Yes,16,113577,7
Iowa,Married,Presbyterian,No,5,188674,1
Maine,Widowed,Pentecostal,Yes,13,126553,2
Florida,Widowed,Baptist,Yes,15,198427,5
Nebraska,Married,Non-denominational,Yes,10,59946,2
Indiana,Single,Other,No,6,58952,1
Indiana,Single,Pentecostal,No,15,33821,5
New Hampshire,Divorced,Catholic,Yes,16,191821,1
Washington,Widowed,Evangelical,No,18,80910,6
Minnesota,Married,Pentecostal,Yes,9,184028,3
Louisiana,Widowed,Other,Yes,16,62259,11
Missouri,Single,Orthodox,Yes,11,194745,3
Oregon,Married,Baptist,Yes,8,85043,3
Louisiana,Married,Non-denominational,No,11,117240,5
Virginia,Divorced,Presbyterian,No,15,93401,9
Wyoming,Divorced,Presbyterian,Yes,12,110135,6
Louisiana,Single,Methodist,Yes,9,94529,4
New Mexico,Single,Pentecostal,No,11,124126,2
Georgia,Married,Methodist,Yes,6,187388,1
Maryland,Married,Catholic,Yes,17,110734,4
Texas,Divorced,Evangelical,No,9,192316,4
Maryland,Married,Catholic,Yes,18,163250,13
Vermont,Widowed,Orthodox,Yes,8,88614,1
North Carolina,Widowed,Methodist,No,13,131290,1
Hawaii,Widowed,Other,Yes,14,95813,1
Kansas,Single,Orthodox,Yes,13,169120,7
North Dakota,Widowed,Methodist,No,12,135709,6
Ohio,Widowed,Lutheran,No,5,67706,1
Kentucky,Single,Methodist,No,17,149406,9
Wyoming,Divorced,Other,No,14,180225,4
North Carolina,Single,Non-denominational,Yes,10,71915,2
Kentucky,Divorced,Presbyterian,Yes,12,96271,2
New Mexico,Single,Other,No,16,89500,2
Nevada,Single,Baptist,No,6,68463,1
New Mexico,Widowed,Evangelical,Yes,17,72001,2
Ohio,Widowed,Evangelical,No,8,52176,2
Maine,Single,Lutheran,Yes,11,143491,5
North Carolina,Widowed,Other,No,18,70652,4
Colorado,Divorced,Baptist,No,9,162700,3
Delaware,Single,Lutheran,Yes,11,99468,5
Nebraska,Married,Pentecostal,Yes,16,133620,8
Alaska,Married,Methodist,Yes,11,175776,5
California,Widowed,Evangelical,No,12,52649,1
North Carolina,Single,Baptist,Yes,18,105202,4
Michigan,Married,Pentecostal,Yes,8,87485,3
South Carolina,Divorced,Methodist,No,15,66698,6
Georgia,Divorced,Pentecostal,No,12,145282,5
Maine,Widowed,Lutheran,Yes,8,176706,1
Arkansas,Married,Non-denominational,Yes,10,132497,5
Washington,Married,Non-denominational,Yes,16,53592,5
Vermont,Single,Evangelical,Yes,11,75202,3
New Hampshire,Widowed,Catholic,Yes,7,53956,2
Ohio,Married,Pentecostal,No,11,121879,5
Arkansas,Widowed,Lutheran,No,18,45606,2
Washington,Married,Presbyterian,No,6,194361,1
North Carolina,Widowed,Catholic,No,10,176845,2
California,Divorced,Pentecostal,Yes,18,195522,6
Wyoming,Widowed,Pentecostal,Yes,14,145453,2
Montana,Single,Methodist,Yes,16,33873,5
Alaska,Married,Presbyterian,No,12,54909,7
California,Divorced,Baptist,No,13,136170,5
New Hampshire,Widowed,Baptist,No,7,30685,2
Massachusetts,Single,Presbyterian,No,16,175603,5
Colorado,Widowed,Baptist,No,13,118657,6
Ohio,Widowed,Methodist,No,13,141594,8
Hawaii,Widowed,Orthodox,Yes,14,144935,8
Kentucky,Divorced,Non-denominational,No,9,74759,3
Iowa,Married,Non-denominational,No,10,93847,3
Nevada,Widowed,Evangelical,Yes,12,119830,4
Arizona,Divorced,Evangelical,No,5,157690,1
Montana,Single,Catholic,No,14,130056,5
Florida,Divorced,Pentecostal,No,12,161629,7
Missouri,Married,Lutheran,Yes,18,50273,7
Texas,Single,Catholic,Yes,16,145119,1
Ohio,Single,Pentecostal,No,8,157041,2
Connecticut,Divorced,Lutheran,Yes,8,119398,1
Wyoming,Widowed,Non-denominational,Yes,9,152849,2
Montana,Divorced,Lutheran,Yes,11,41044,2
Maryland,Single,Non-denominational,No,8,184210,2
New Jersey,Single,Evangelical,Yes,14,178492,8
Arkansas,Widowed,Methodist,Yes,16,189696,8
Massachusetts,Married,Pentecostal,Yes,7,173539,2
Tennessee,Married,Methodist,Yes,14,94746,2
Louisiana,Married,Non-denominational,No,10,57011,2
Montana,Divorced,Other,Yes,16,127871,3
Vermont,Widowed,Other,No,10,144370,2
Illinois,Married,Presbyterian,No,8,146958,2
Rhode Island,Married,Other,No,10,48301,1
Michigan,Widowed,Lutheran,No,10,85894,5
Pennsylvania,Divorced,Evangelical,Yes,17,120478,10
Utah,Single,Lutheran,Yes,13,129598,6
West Virginia,Widowed,Pentecostal,Yes,10,146234,5
Michigan,Divorced,Catholic,Yes,11,181355,6
Maine,Divorced,Methodist,No,9,74544,1
New York,Married,Lutheran,No,12,100237,3
Massachusetts,Single,Catholic,No,14,84877,5
Indiana,Single,Methodist,No,12,84304,3
Wyoming,Married,Presbyterian,No,16,195516,2
Alaska,Single,Non-denominational,No,10,73831,2
Oklahoma,Married,Catholic,Yes,15,170120,6
Tennessee,Divorced,Pentecostal,No,10,132323,2
Louisiana,Widowed,Presbyterian,No,18,73217,7
Ohio,Divorced,Evangelical,No,5,146381,1
Florida,Single,Presbyterian,Yes,17,154341,1
New Hampshire,Married,Non-denominational,Yes,5,66307,1
Indiana,Single,Non-denominational,Yes,8,169034,3
Mississippi,Married,Catholic,Yes,16,31995,1
Oklahoma,Divorced,Catholic,No,7,171003,1
West Virginia,Married,Pentecostal,No,18,156598,6
California,Single,Pentecostal,No,7,197196,2
Arizona,Divorced,Other,Yes,7,176040,2
Maryland,Widowed,Other,No,11,162007,2
Massachusetts,Widowed,Baptist,No,16,158958,5
Texas,Single,Presbyterian,No,6,190606,1
Kansas,Widowed,Methodist,Yes,14,194263,6
Tennessee,Married,Orthodox,No,14,132714,1
Louisiana,Single,Non-denominational,No,18,106642,5
Massachusetts,Single,Non-denominational,No,6,142381,1
Wisconsin,Single,Pentecostal,No,8,79579,1
Arkansas,Divorced,Presbyterian,Yes,7,80107,1
Maryland,Divorced,Catholic,Yes,12,113819,7
South Dakota,Widowed,Catholic,Yes,18,62712,7
Massachusetts,Divorced,Orthodox,No,8,96800,2
Alaska,Widowed,Methodist,Yes,17,141120,10
North Carolina,Widowed,Non-denominational,Yes,5,47416,1
Maine,Divorced,Catholic,Yes,15,37725,8
Arkansas,Single,Evangelical,No,7,44659,1
Alabama,Widowed,Baptist,No,6,65103,1
Minnesota,Single,Lutheran,Yes,9,51071,1
South Carolina,Married,Baptist,Yes,14,73461,8
Georgia,Widowed,Orthodox,Yes,8,140980,3
Maryland,Married,Evangelical,Yes,17,81840,3
Arkansas,Divorced,Lutheran,Yes,9,133695,4
Kansas,Single,Methodist,No,12,91593,3
Florida,Divorced,Orthodox,Yes,15,192402,7
Tennessee,Single,Pentecostal,Yes,12,64439,5
Missouri,Divorced,Methodist,Yes,13,170696,6
Virginia,Divorced,Presbyterian,Yes,10,167942,4
Indiana,Divorced,Evangelical,No,6,93996,1
Texas,Widowed,Presbyterian,Yes,8,124443,1
Kentucky,Single,Non-denominational,No,7,192414,2
Rhode Island,Divorced,Evangelical,No,5,54012,1
Minnesota,Widowed,Methodist,Yes,5,197519,1
Montana,Divorced,Other,Yes,17,105828,1
Alaska,Divorced,Baptist,No,11,136984,1
Vermont,Widowed,Presbyterian,No,7,120417,2
Delaware,Married,Baptist,No,15,105867,3
New Hampshire,Widowed,Baptist,Yes,17,174643,2
Nevada,Single,Lutheran,Yes,14,153707,4
New Mexico,Divorced,Presbyterian,No,9,106316,1
Colorado,Divorced,Evangelical,Yes,7,54084,1
South Carolina,Widowed,Orthodox,No,6,85024,1
Connecticut,Married,Lutheran,Yes,8,154033,1
Texas,Divorced,Non-denominational,Yes,7,98190,2
Arkansas,Single,Pentecostal,Yes,6,182715,1
Wisconsin,Married,Methodist,No,8,91918,2
West Virginia,Single,Presbyterian,No,17,162161,9
Iowa,Widowed,Pentecostal,No,16,51385,1
South Dakota,Married,Methodist,No,8,111771,1
Kentucky,Divorced,Baptist,No,7,153428,1
Michigan,Divorced,Non-denominational,No,18,35937,3
Vermont,Married,Methodist,Yes,11,79587,5
Minnesota,Single,Lutheran,No,12,61727,3
North Dakota,Divorced,Evangelical,Yes,15,131908,2
Missouri,Widowed,Pentecostal,Yes,10,115705,3
North Carolina,Married,Baptist,Yes,11,188462,4
Kentucky,Single,Other,No,8,115293,2
Idaho,Widowed,Methodist,Yes,16,175209,2
Missouri,Married,Evangelical,Yes,8,101080,2
Washington,Widowed,Methodist,Yes,11,173280,6
New York,Single,Methodist,Yes,15,137248,4
Michigan,Married,Presbyterian,No,16,31865,1
Oklahoma,Single,Lutheran,No,18,198904,11
Alaska,Widowed,Non-denominational,Yes,14,140613,7
Montana,Widowed,Other,No,15,60335,6
Massachusetts,Widowed,Catholic,No,10,105023,3
Virginia,Married,Orthodox,Yes,12,52525,4
Massachusetts,Married,Evangelical,Yes,17,57421,6
Minnesota,Divorced,Non-denominational,Yes,8,30338,1
Nevada,Widowed,Pentecostal,Yes,15,96229,6
Virginia,Single,Orthodox,Yes,12,40002,6
Indiana,Divorced,Orthodox,No,6,82222,1
Delaware,Single,Lutheran,Yes,10,104533,4
New York,Single,Lutheran,Yes,13,97407,8
Utah,Single,Non-denominational,No,11,196958,1
West Virginia,Single,Evangelical,Yes,9,106576,3
Pennsylvania,Single,Baptist,Yes,9,168446,2
Kansas,Married,Presbyterian,Yes,5,136944,1
Kansas,Married,Other,No,15,91162,10
Vermont,Married,Orthodox,Yes,6,121696,1
New Jersey,Single,Non-denominational,Yes,14,120149,9
Colorado,Single,Methodist,No,14,95660,5
Massachusetts,Married,Methodist,No,7,107968,2
North Carolina,Widowed,Other,Yes,18,46813,3
New York,Single,Methodist,No,13,188087,6
North Dakota,Married,Methodist,Yes,11,113211,1
North Carolina,Divorced,Lutheran,Yes,16,31769,4
Alaska,Divorced,Non-denominational,No,15,139645,8
Minnesota,Widowed,Baptist,No,14,153539,7
Massachusetts,Divorced,Other,No,17,178360,7
Idaho,Widowed,Non-denominational,Yes,9,119400,2
South Carolina,Widowed,Pentecostal,No,11,48670,5
Alaska,Divorced,Evangelical,No,8,190763,1
West Virginia,Married,Lutheran,No,9,166529,1
Michigan,Single,Lutheran,No,11,49893,2
Indiana,Single,Pentecostal,No,8,134379,2
Connecticut,Divorced,Other,No,18,56963,9
Maine,Widowed,Baptist,No,15,140584,5
Alaska,Married,Pentecostal,Yes,7,81931,2
Maine,Married,Orthodox,No,10,132000,1
Idaho,Widowed,Other,Yes,13,102531,5
Oregon,Widowed,Catholic,Yes,6,101597,1
Vermont,Single,Non-denominational,Yes,8,44145,2
Illinois,Divorced,Orthodox,Yes,17,67150,10
Illinois,Widowed,Orthodox,Yes,11,62105,3
Washington,Divorced,Orthodox,No,5,161699,1
Mississippi,Widowed,Catholic,Yes,17,43328,2
New Hampshire,Widowed,Baptist,Yes,8,167766,2
Minnesota,Single,Baptist,Yes,9,86724,3
Alabama,Married,Methodist,Yes,11,195802,5
Pennsylvania,Married,Other,Yes,8,149963,3
Nevada,Married,Pentecostal,No,13,131249,6
Arizona,Single,Methodist,No,16,137718,6
California,Widowed,Non-denominational,No,7,84431,2
North Dakota,Widowed,Pentecostal,Yes,16,35919,6
Louisiana,Widowed,Methodist,Yes,15,123206,10
Michigan,Single,Baptist,Yes,15,159363,8
Georgia,Divorced,Pentecostal,Yes,18,52612,3
Washington,Married,Catholic,Yes,12,199098,4
Kansas,Single,Presbyterian,No,13,74586,3
Alabama,Single,Pentecostal,Yes,6,104072,1
Delaware,Married,Catholic,No,7,94370,1
West Virginia,Widowed,Catholic,No,12,151338,7
California,Single,Pentecostal,Yes,15,90153,1
New York,Married,Catholic,No,6,51035,1
Wisconsin,Widowed,Lutheran,No,12,35357,2
Maryland,Married,Non-denominational,No,16,130534,8
Maryland,Married,Non-denominational,No,10,93505,2
Massachusetts,Single,Lutheran,No,18,165652,9
Delaware,Married,Presbyterian,No,16,181430,3
Arkansas,Divorced,Non-denominational,Yes,8,119850,3
Illinois,Single,Baptist,Yes,15,176602,7
Colorado,Married,Methodist,Yes,11,79957,1
Hawaii,Divorced,Other,No,5,75475,1
New Hampshire,Single,Presbyterian,No,7,43361,1
Kentucky,Widowed,Lutheran,Yes,18,174474,5
Oregon,Divorced,Orthodox,Yes,13,155337,8
North Dakota,Single,Evangelical,Yes,6,97122,1
Oregon,Single,Other,Yes,9,118334,2
Utah,Single,Presbyterian,No,6,92465,1
North Carolina,Divorced,Non-denominational,No,14,197172,9
Connecticut,Divorced,Lutheran,No,11,171235,5
West Virginia,Single,Baptist,Yes,16,148296,10
South Dakota,Widowed,Other,No,11,138182,4
Nevada,Widowed,Catholic,No,9,79520,3
Alabama,Widowed,Methodist,No,15,47241,1
Montana,Divorced,Presbyterian,Yes,11,119771,6
Wisconsin,Married,Other,Yes,10,162376,2
Florida,Divorced,Non-denominational,No,9,41892,2
Hawaii,Divorced,Pentecostal,No,14,139173,1
Oklahoma,Widowed,Evangelical,No,7,156108,1
Maryland,Married,Non-denominational,No,5,125479,1
South Carolina,Single,Orthodox,No,15,30100,3
Montana,Married,Methodist,Yes,14,171839,6
South Dakota,Divorced,Baptist,Yes,5,45723,1
North Carolina,Widowed,Presbyterian,No,17,157814,5
Florida,Widowed,Catholic,Yes,8,154497,1
Nevada,Married,Non-denominational,Yes,13,199624,3
Iowa,Single,Baptist,Yes,9,161379,3
Wyoming,Single,Evangelical,No,15,178747,3
Missouri,Married,Other,Yes,12,60339,3
Wyoming,Divorced,Methodist,No,10,59055,3
Texas,Married,Evangelical,No,12,176761,7
Kentucky,Single,Catholic,No,11,140353,5
Nebraska,Divorced,Presbyterian,No,13,193042,4
Arkansas,Divorced,Evangelical,Yes,8,168588,3
New York,Single,Baptist,Yes,14,152124,5
Connecticut,Married,Other,No,15,93530,10
Vermont,Married,Catholic,Yes,7,136055,1
Hawaii,Divorced,Methodist,Yes,18,70570,13
Vermont,Widowed,Orthodox,No,10,118370,3
Missouri,Married,Evangelical,No,16,92221,7
Texas,Divorced,Non-denominational,Yes,6,170295,1
Wisconsin,Divorced,Presbyterian,No,11,63190,5
Washington,Married,Baptist,Yes,9,31308,3
Florida,Single,Pentecostal,Yes,14,102332,6
Rhode Island,Married,Pentecostal,Yes,14,115759,1
Vermont,Widowed,Presbyterian,No,9,114341,2
Maryland,Single,Catholic,Yes,17,87959,6
West Virginia,Single,Pentecostal,No,7,111296,1
Connecticut,Widowed,Orthodox,Yes,5,53714,1
Oregon,Married,Catholic,No,10,59570,5
Minnesota,Married,Lutheran,No,14,77999,6
South Dakota,Single,Evangelical,No,15,67018,9
New Mexico,Widowed,Orthodox,No,18,91059,9
Idaho,Widowed,Methodist,No,13,72628,1
South Dakota,Divorced,Lutheran,No,6,154897,1
Nebraska,Single,Lutheran,Yes,18,38145,5
Delaware,Widowed,Pentecostal,Yes,16,116835,3
Indiana,Divorced,Evangelical,No,10,83628,4
Florida,Widowed,Presbyterian,Yes,10,110638,2
Louisiana,Single,Baptist,Yes,15,56378,10
South Carolina,Widowed,Lutheran,No,12,167814,1
Arizona,Divorced,Orthodox,No,7,47810,2
Michigan,Married,Orthodox,Yes,17,195008,6
North Dakota,Single,Evangelical,No,10,116447,4
Texas,Divorced,Pentecostal,No,7,196518,2
Montana,Married,Presbyterian,Yes,15,57903,1
Virginia,Married,Presbyterian,Yes,5,187244,1
Florida,Single,Catholic,No,18,91592,2
Nebraska,Widowed,Methodist,Yes,7,113178,2
Missouri,Single,Presbyterian,Yes,17,104644,11
Ohio,Single,Methodist,No,6,166178,1
Ohio,Single,Orthodox,No,7,155043,1
Florida,Married,Pentecostal,No,6,196075,1
Louisiana,Single,Non-denominational,No,18,31359,1
Virginia,Divorced,Lutheran,No,17,159447,1
Michigan,Divorced,Orthodox,Yes,7,160179,2
Massachusetts,Single,Orthodox,No,9,165925,4
New Mexico,Widowed,Presbyterian,Yes,14,73375,4
New Jersey,Single,Pentecostal,Yes,7,74029,2
Missouri,Divorced,Pentecostal,Yes,8,160142,1
New Hampshire,Single,Pentecostal,No,10,91967,4
Utah,Married,Non-denominational,Yes,5,59379,1
Maryland,Single,Baptist,Yes,10,163582,4
Washington,Single,Orthodox,Yes,12,148191,4
Alabama,Divorced,Pentecostal,Yes,17,170277,3
Wyoming,Single,Baptist,Yes,17,168552,9
North Dakota,Widowed,Lutheran,No,16,86537,10
Oregon,Single,Catholic,No,8,148762,3
Vermont,Single,Pentecostal,Yes,12,54085,1
Colorado,Divorced,Pentecostal,No,17,188432,6
Indiana,Married,Pentecostal,No,15,89659,10
Texas,Single,Lutheran,No,15,99792,1
Idaho,Married,Baptist,Yes,16,153309,11
North Carolina,Divorced,Pentecostal,Yes,15,46843,9
Virginia,Divorced,Methodist,No,17,64506,2
Ohio,Single,Presbyterian,No,9,131534,3
Nebraska,Married,Other,Yes,14,109679,1
Oregon,Divorced,Non-denominational,Yes,7,72418,1
South Dakota,Widowed,Evangelical,No,8,73697,3
Alaska,Married,Pentecostal,No,11,55440,6
Wisconsin,Widowed,Presbyterian,No,17,82364,8
Florida,Married,Presbyterian,No,5,149982,1
New Hampshire,Single,Pentecostal,Yes,13,181887,4
Washington,Widowed,Baptist,No,14,70616,9
California,Married,Catholic,No,13,145590,1
Nebraska,Divorced,Other,No,18,82046,9
Iowa,Single,Presbyterian,No,13,54851,8
Kentucky,Single,Other,No,10,79079,5
Georgia,Divorced,Pentecostal,Yes,10,187590,2
Wyoming,Married,Catholic,No,16,103151,7
Hawaii,Single,Other,No,7,65781,1
Kentucky,Divorced,Evangelical,No,14,40637,3
Wyoming,Widowed,Pentecostal,No,5,67294,1
Mississippi,Divorced,Baptist,Yes,15,155708,7
Vermont,Divorced,Orthodox,Yes,17,66311,10
Arkansas,Married,Non-denominational,No,9,186351,1
